epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,11.3935,1.97427,2.17198,1.37899,0.78096,0.6892,0.74297,0.37495,1.63732,1.04519,1.21162,0.000469982,0.000469982,0.000469982
2,20.1591,1.69953,1.18328,1.19946,0.78158,0.62851,0.72197,0.3764,1.69219,1.23461,1.25057,0.000927579,0.000927579,0.000927579
3,28.5528,1.6956,1.1235,1.20461,0.85902,0.68471,0.78372,0.40606,1.63723,1.08041,1.21655,0.00136631,0.00136631,0.00136631
4,37.0341,1.66241,1.07614,1.1918,0.85668,0.75242,0.81369,0.41984,1.58301,0.90754,1.18923,0.00134412,0.00134412,0.00134412
5,45.6477,1.60275,1.01243,1.16491,0.81309,0.69376,0.77694,0.3908,1.67291,1.05233,1.23949,0.00131582,0.00131582,0.00131582
6,54.0948,1.57792,0.95757,1.15109,0.88374,0.78089,0.8475,0.45501,1.53224,0.86705,1.1743,0.00128753,0.00128753,0.00128753
7,62.5675,1.54905,0.9182,1.14939,0.87314,0.80647,0.8716,0.47991,1.45607,0.79511,1.11828,0.00125923,0.00125923,0.00125923
8,71.1442,1.49167,0.88184,1.12756,0.87969,0.81966,0.88056,0.49971,1.42394,0.77845,1.1112,0.00123094,0.00123094,0.00123094
9,79.7819,1.4888,0.86696,1.11967,0.87674,0.81056,0.867,0.48154,1.43156,0.81565,1.10993,0.00120265,0.00120265,0.00120265
10,88.28,1.46591,0.85451,1.10581,0.88322,0.83975,0.89158,0.49786,1.41908,0.76515,1.11202,0.00117435,0.00117435,0.00117435
11,96.6544,1.43203,0.82729,1.09506,0.88496,0.81175,0.88836,0.50114,1.42315,0.76155,1.10448,0.00114606,0.00114606,0.00114606
12,105.173,1.43283,0.81267,1.09549,0.90895,0.80726,0.89511,0.51018,1.37127,0.72619,1.09456,0.00111776,0.00111776,0.00111776
13,113.749,1.43094,0.79953,1.09049,0.90045,0.86049,0.9139,0.52604,1.37012,0.71629,1.09013,0.00108947,0.00108947,0.00108947
14,122.362,1.42962,0.80034,1.09305,0.88249,0.85455,0.91028,0.52615,1.34859,0.74986,1.07969,0.00106118,0.00106118,0.00106118
15,130.754,1.39938,0.78789,1.07791,0.89761,0.84523,0.91884,0.53163,1.37282,0.70583,1.09362,0.00103288,0.00103288,0.00103288
16,139.457,1.36528,0.76282,1.06927,0.89757,0.85188,0.92242,0.53079,1.36355,0.69714,1.08703,0.00100459,0.00100459,0.00100459
17,148.142,1.36271,0.74898,1.06584,0.89982,0.87286,0.9232,0.5481,1.33161,0.68682,1.07273,0.000976293,0.000976293,0.000976293
18,156.595,1.36875,0.76018,1.07166,0.90765,0.86318,0.91639,0.51949,1.39692,0.71115,1.10234,0.000947999,0.000947999,0.000947999
19,165.08,1.32283,0.7314,1.05658,0.92439,0.86514,0.93413,0.56197,1.30108,0.66416,1.06122,0.000919704,0.000919704,0.000919704
20,173.79,1.32334,0.72683,1.05547,0.92676,0.84509,0.92231,0.56365,1.27946,0.65608,1.05731,0.00089141,0.00089141,0.00089141
