epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,9.74601,1.90902,1.96833,1.35264,0.66593,0.5613,0.63235,0.32636,1.64592,1.33899,1.22204,0.000469982,0.000469982,0.000469982
2,18.8215,1.63723,1.08639,1.18087,0.78978,0.68004,0.74379,0.38272,1.61938,1.10116,1.19714,0.000936947,0.000936947,0.000936947
3,28.2905,1.6397,1.04904,1.18379,0.82417,0.67354,0.75492,0.38238,1.60449,1.01012,1.20062,0.00139448,0.00139448,0.00139448
4,37.0427,1.61494,1.00412,1.1623,0.7599,0.68143,0.75626,0.36745,1.72583,1.05243,1.23172,0.00138656,0.00138656,0.00138656
5,45.736,1.55018,0.94208,1.14607,0.84156,0.74387,0.81093,0.4196,1.55032,0.86588,1.16878,0.00137241,0.00137241,0.00137241
6,54.5175,1.54733,0.91423,1.13534,0.88401,0.77662,0.8484,0.45075,1.50355,0.81819,1.14599,0.00135826,0.00135826,0.00135826
7,63.0958,1.51866,0.87972,1.1245,0.89194,0.77612,0.85277,0.46509,1.47407,0.78645,1.14523,0.00134412,0.00134412,0.00134412
8,71.6762,1.47276,0.85867,1.11764,0.86923,0.79894,0.85632,0.45297,1.44992,0.8309,1.11415,0.00132997,0.00132997,0.00132997
9,80.0898,1.46049,0.83142,1.10155,0.89947,0.77458,0.84311,0.46239,1.43431,0.80168,1.11909,0.00131582,0.00131582,0.00131582
10,88.2684,1.44924,0.83487,1.09848,0.90072,0.779,0.86864,0.47783,1.40497,0.76618,1.10303,0.00130168,0.00130168,0.00130168
11,96.733,1.40715,0.79866,1.08362,0.89017,0.82008,0.87628,0.4913,1.39366,0.73167,1.10311,0.00128753,0.00128753,0.00128753
12,105.083,1.40626,0.78298,1.07853,0.91014,0.81825,0.88965,0.50977,1.39734,0.71795,1.09588,0.00127338,0.00127338,0.00127338
13,113.536,1.41276,0.77843,1.08586,0.88794,0.83954,0.89132,0.50474,1.38394,0.72842,1.07624,0.00125923,0.00125923,0.00125923
14,121.808,1.37194,0.76264,1.06851,0.92205,0.83549,0.91002,0.52539,1.34843,0.71151,1.06974,0.00124509,0.00124509,0.00124509
15,130.589,1.37563,0.76303,1.06709,0.92856,0.8178,0.88933,0.51918,1.35092,0.69837,1.07798,0.00123094,0.00123094,0.00123094
16,139.004,1.34814,0.73368,1.06103,0.92665,0.81505,0.89721,0.50572,1.38807,0.69709,1.09185,0.00121679,0.00121679,0.00121679
17,147.396,1.33586,0.73584,1.05423,0.91909,0.83204,0.9073,0.52748,1.37759,0.70148,1.08372,0.00120265,0.00120265,0.00120265
18,155.935,1.31291,0.71381,1.05228,0.9056,0.80251,0.88194,0.49583,1.4096,0.70217,1.09353,0.0011885,0.0011885,0.0011885
19,164.156,1.31061,0.71144,1.0478,0.901,0.83401,0.90389,0.53847,1.3238,0.67869,1.05427,0.00117435,0.00117435,0.00117435
20,172.67,1.2964,0.70379,1.03923,0.91101,0.84333,0.90883,0.52871,1.35137,0.66535,1.08004,0.00116021,0.00116021,0.00116021
21,181.094,1.29325,0.70762,1.04766,0.907,0.86358,0.9204,0.53801,1.30578,0.6621,1.05825,0.00114606,0.00114606,0.00114606
22,189.377,1.28254,0.7019,1.04085,0.916,0.8446,0.91362,0.54007,1.30876,0.64521,1.05829,0.00113191,0.00113191,0.00113191
23,197.92,1.26167,0.67262,1.02762,0.91163,0.87656,0.92854,0.54588,1.30604,0.651,1.06102,0.00111776,0.00111776,0.00111776
24,206.388,1.26503,0.67661,1.03405,0.92175,0.85683,0.92526,0.55723,1.30363,0.63379,1.05672,0.00110362,0.00110362,0.00110362
25,214.73,1.23351,0.65628,1.01859,0.91501,0.87008,0.92054,0.55614,1.27325,0.63416,1.05683,0.00108947,0.00108947,0.00108947
26,223.125,1.2346,0.66006,1.02656,0.91883,0.83948,0.91121,0.53188,1.31881,0.65707,1.06502,0.00107532,0.00107532,0.00107532
27,231.857,1.23322,0.66158,1.02071,0.92211,0.88057,0.92855,0.5659,1.2546,0.61029,1.03973,0.00106118,0.00106118,0.00106118
28,240.22,1.21479,0.63868,1.0164,0.9248,0.84472,0.91158,0.55365,1.26577,0.61964,1.04899,0.00104703,0.00104703,0.00104703
29,248.673,1.22067,0.64168,1.01634,0.91739,0.8668,0.92085,0.55077,1.29975,0.61321,1.05153,0.00103288,0.00103288,0.00103288
30,257.146,1.20608,0.6379,1.01235,0.91876,0.884,0.93091,0.56834,1.27375,0.60265,1.04449,0.00101873,0.00101873,0.00101873
31,265.544,1.19391,0.63806,1.00214,0.94003,0.87339,0.93359,0.56951,1.25602,0.61462,1.03548,0.00100459,0.00100459,0.00100459
32,274.007,1.1887,0.63557,1.00612,0.91796,0.87552,0.92863,0.5645,1.26763,0.60481,1.04761,0.00099044,0.00099044,0.00099044
33,282.41,1.16626,0.61996,1.00417,0.91034,0.88181,0.9286,0.58154,1.22687,0.59126,1.02737,0.000976293,0.000976293,0.000976293
34,290.834,1.1763,0.61569,1.0028,0.92221,0.85662,0.92118,0.56861,1.26274,0.59734,1.04005,0.000962146,0.000962146,0.000962146
