epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,11.8726,2.17285,2.87133,1.4638,0.97229,0.12426,0.44014,0.22292,1.7926,2.71591,1.23454,0.000469982,0.000469982,0.000469982
2,20.6643,1.83414,1.57002,1.25191,0.71874,0.56003,0.62645,0.30582,1.76556,1.59179,1.25846,0.000927579,0.000927579,0.000927579
3,29.1676,1.79305,1.43362,1.23594,0.76259,0.66115,0.7166,0.3548,1.69041,1.18873,1.20755,0.00136631,0.00136631,0.00136631
4,37.6907,1.75432,1.30102,1.22013,0.76933,0.69733,0.75296,0.35972,1.67995,1.07755,1.20658,0.00134412,0.00134412,0.00134412
5,46.2141,1.67647,1.16444,1.18535,0.80846,0.73037,0.78629,0.39768,1.61257,1.00712,1.16868,0.00131582,0.00131582,0.00131582
6,54.7588,1.65738,1.12454,1.17342,0.82047,0.71681,0.78471,0.39516,1.65507,0.99504,1.20095,0.00128753,0.00128753,0.00128753
7,63.0582,1.60011,1.05839,1.16181,0.82737,0.71256,0.78593,0.40388,1.62516,1.02293,1.17671,0.00125923,0.00125923,0.00125923
8,71.5354,1.59424,1.02082,1.15745,0.85135,0.69606,0.78639,0.41037,1.60662,0.97482,1.17554,0.00123094,0.00123094,0.00123094
9,79.8896,1.58743,1.00835,1.14718,0.86274,0.73969,0.81866,0.43097,1.53894,0.88881,1.14461,0.00120265,0.00120265,0.00120265
10,88.1792,1.55063,0.98362,1.13552,0.8593,0.75185,0.84503,0.45438,1.51255,0.86729,1.13623,0.00117435,0.00117435,0.00117435
11,96.621,1.53077,0.93058,1.12333,0.86363,0.77287,0.84085,0.44151,1.57695,0.88834,1.15633,0.00114606,0.00114606,0.00114606
12,104.935,1.51593,0.91417,1.11569,0.87696,0.77652,0.84488,0.45909,1.49224,0.82309,1.12312,0.00111776,0.00111776,0.00111776
13,113.187,1.48419,0.88745,1.10366,0.86346,0.74725,0.83483,0.44817,1.50536,0.83131,1.13726,0.00108947,0.00108947,0.00108947
14,121.653,1.50104,0.89429,1.10684,0.87372,0.77636,0.84784,0.45602,1.51876,0.82599,1.13272,0.00106118,0.00106118,0.00106118
15,130.036,1.50994,0.89373,1.11006,0.90072,0.77963,0.85267,0.47151,1.46626,0.78303,1.10646,0.00103288,0.00103288,0.00103288
16,138.387,1.46977,0.85309,1.09071,0.89003,0.80216,0.88449,0.49611,1.41903,0.76866,1.08955,0.00100459,0.00100459,0.00100459
17,146.823,1.43085,0.83781,1.08312,0.88195,0.78847,0.85856,0.47752,1.44179,0.79465,1.1041,0.000976293,0.000976293,0.000976293
18,155.234,1.44592,0.84142,1.0915,0.87626,0.79887,0.86704,0.47026,1.4472,0.79239,1.10903,0.000947999,0.000947999,0.000947999
19,163.62,1.42654,0.82994,1.08473,0.88873,0.8276,0.88526,0.50428,1.41532,0.75495,1.08592,0.000919704,0.000919704,0.000919704
20,172.031,1.43525,0.83391,1.08256,0.89789,0.79495,0.88325,0.51047,1.41538,0.78017,1.0895,0.00089141,0.00089141,0.00089141
21,180.514,1.39901,0.80256,1.079,0.90573,0.79501,0.88779,0.50121,1.42265,0.74192,1.0962,0.000863116,0.000863116,0.000863116
22,188.923,1.39088,0.798,1.06858,0.88961,0.80392,0.87161,0.49289,1.43285,0.74402,1.08975,0.000834822,0.000834822,0.000834822
23,197.328,1.3647,0.77799,1.06167,0.90654,0.83342,0.89513,0.51204,1.38587,0.72639,1.08124,0.000806528,0.000806528,0.000806528
24,205.917,1.36248,0.77787,1.06738,0.90386,0.79736,0.8933,0.5137,1.41435,0.74277,1.09695,0.000778233,0.000778233,0.000778233
