epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,51.57,1.96196,2.91817,1.47899,0.9433,0.2133,0.51655,0.28239,1.56519,2.72158,1.29646,0.000469982,0.000469982,0.000469982
2,98.7145,1.65442,1.61914,1.30393,0.72167,0.69258,0.77273,0.39745,1.61626,1.45444,1.31836,0.000936947,0.000936947,0.000936947
3,145.302,1.6424,1.39962,1.2866,0.83334,0.76942,0.8459,0.44824,1.50619,1.03691,1.2639,0.00139448,0.00139448,0.00139448
4,193.22,1.57555,1.24067,1.2647,0.85839,0.77731,0.8574,0.45882,1.54248,1.00647,1.29684,0.00138656,0.00138656,0.00138656
5,240.033,1.55935,1.11752,1.252,0.84177,0.8194,0.88814,0.49311,1.44746,0.94768,1.22934,0.00137241,0.00137241,0.00137241
6,287.619,1.54993,1.05988,1.25007,0.86187,0.84933,0.90309,0.49819,1.43336,0.95689,1.23219,0.00135826,0.00135826,0.00135826
7,334.243,1.5196,1.00882,1.24064,0.84919,0.84938,0.8953,0.50047,1.43655,0.89283,1.2316,0.00134412,0.00134412,0.00134412
8,380.611,1.50945,0.96385,1.22911,0.88522,0.87819,0.9182,0.52238,1.41413,0.81828,1.21612,0.00132997,0.00132997,0.00132997
9,427.159,1.46876,0.93241,1.21838,0.86249,0.84676,0.9046,0.50967,1.47483,0.85992,1.24843,0.00131582,0.00131582,0.00131582
10,472.904,1.47192,0.92155,1.20792,0.89824,0.88682,0.93381,0.55136,1.37857,0.75524,1.19671,0.00130168,0.00130168,0.00130168
11,519.43,1.46673,0.89732,1.20328,0.89654,0.8844,0.93168,0.5391,1.40143,0.78183,1.20859,0.00128753,0.00128753,0.00128753
12,566.854,1.4246,0.86822,1.19272,0.91051,0.87085,0.93949,0.55215,1.3637,0.75847,1.18154,0.00127338,0.00127338,0.00127338
13,612.311,1.40984,0.85933,1.18736,0.90122,0.88855,0.93349,0.5462,1.38675,0.75333,1.20156,0.00125923,0.00125923,0.00125923
14,659.663,1.40957,0.84835,1.17681,0.9246,0.86993,0.9374,0.55651,1.36015,0.74155,1.1697,0.00124509,0.00124509,0.00124509
15,705.1,1.38787,0.81734,1.17691,0.90382,0.90019,0.93741,0.5556,1.36258,0.72372,1.1676,0.00123094,0.00123094,0.00123094
16,752.812,1.38317,0.80801,1.16063,0.91443,0.89992,0.94184,0.55346,1.3357,0.70671,1.17466,0.00121679,0.00121679,0.00121679
17,799.047,1.39297,0.81395,1.16896,0.91383,0.89071,0.94034,0.55759,1.33722,0.73741,1.1645,0.00120265,0.00120265,0.00120265
18,845.317,1.3549,0.79304,1.15363,0.91049,0.89679,0.94302,0.56759,1.3325,0.70533,1.17805,0.0011885,0.0011885,0.0011885
19,892.876,1.34739,0.77969,1.15569,0.93911,0.90907,0.94895,0.58064,1.30936,0.69516,1.1514,0.00117435,0.00117435,0.00117435
20,939.891,1.34997,0.77503,1.15485,0.91717,0.91488,0.94501,0.58845,1.29417,0.67632,1.14575,0.00116021,0.00116021,0.00116021
21,986.034,1.32372,0.75469,1.14228,0.92536,0.9153,0.95169,0.57553,1.31901,0.67729,1.14861,0.00114606,0.00114606,0.00114606
22,1033.16,1.33566,0.75182,1.14274,0.93682,0.90637,0.95577,0.5907,1.29518,0.67923,1.13866,0.00113191,0.00113191,0.00113191
23,1079.74,1.29753,0.74371,1.13292,0.92883,0.92254,0.95329,0.57966,1.30977,0.66751,1.15962,0.00111776,0.00111776,0.00111776
24,1127.21,1.32564,0.74255,1.13072,0.91774,0.91266,0.95204,0.57603,1.30946,0.67966,1.15605,0.00110362,0.00110362,0.00110362
25,1174.19,1.30348,0.73217,1.12135,0.93177,0.91901,0.95752,0.59238,1.2674,0.65788,1.13388,0.00108947,0.00108947,0.00108947
26,1221.99,1.2795,0.72567,1.11828,0.91998,0.91998,0.95406,0.59393,1.28884,0.65595,1.14165,0.00107532,0.00107532,0.00107532
27,1268.33,1.296,0.72447,1.12498,0.9361,0.93098,0.95728,0.5929,1.26391,0.6439,1.13148,0.00106118,0.00106118,0.00106118
28,1315.17,1.28492,0.71332,1.12157,0.93178,0.92277,0.95719,0.60184,1.25746,0.63396,1.12102,0.00104703,0.00104703,0.00104703
29,1362.59,1.27493,0.7147,1.12099,0.91977,0.92873,0.95875,0.60327,1.25807,0.6356,1.12915,0.00103288,0.00103288,0.00103288
30,1408.7,1.2626,0.70534,1.1043,0.9352,0.92598,0.95852,0.60593,1.22185,0.63799,1.10773,0.00101873,0.00101873,0.00101873
31,1455.65,1.25379,0.69593,1.10426,0.92995,0.92817,0.96256,0.59843,1.25367,0.62487,1.11558,0.00100459,0.00100459,0.00100459
32,1501.52,1.27687,0.69306,1.1061,0.94065,0.92357,0.9576,0.61237,1.23687,0.60727,1.11765,0.00099044,0.00099044,0.00099044
33,1547.81,1.24615,0.68739,1.10044,0.95008,0.92635,0.96247,0.60607,1.24725,0.60528,1.11127,0.000976293,0.000976293,0.000976293
34,1594.58,1.23605,0.67351,1.08971,0.93407,0.93252,0.95906,0.60436,1.2584,0.61705,1.13402,0.000962146,0.000962146,0.000962146
35,1640.35,1.24597,0.68566,1.10537,0.94979,0.91624,0.96019,0.61858,1.21069,0.59873,1.10303,0.000947999,0.000947999,0.000947999
36,1686.91,1.23122,0.67159,1.09261,0.94195,0.91967,0.96049,0.61704,1.23124,0.6083,1.11348,0.000933851,0.000933851,0.000933851
