epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,15.919,1.74786,2.13413,1.37305,0.77777,0.71149,0.78181,0.41858,1.53731,1.14067,1.29942,0.000469982,0.000469982,0.000469982
2,29.2694,1.60855,1.13453,1.29148,0.81257,0.77612,0.85879,0.45572,1.55821,1.20371,1.36695,0.000927579,0.000927579,0.000927579
3,42.4066,1.57319,1.0404,1.29492,0.84274,0.77021,0.87354,0.45949,1.55897,0.97871,1.33173,0.00136631,0.00136631,0.00136631
4,55.5149,1.59109,1.03261,1.28335,0.86894,0.84124,0.89918,0.49522,1.50715,0.92306,1.30769,0.00134412,0.00134412,0.00134412
5,68.6028,1.51404,0.95934,1.25391,0.89418,0.82966,0.90553,0.50022,1.4782,0.85342,1.26845,0.00131582,0.00131582,0.00131582
6,81.6791,1.48739,0.88306,1.22866,0.87484,0.87529,0.92815,0.50747,1.47367,0.80922,1.27495,0.00128753,0.00128753,0.00128753
7,94.8109,1.4452,0.85182,1.23281,0.92529,0.88684,0.94059,0.53921,1.41515,0.75193,1.25298,0.00125923,0.00125923,0.00125923
8,107.904,1.44094,0.84836,1.22608,0.90064,0.86883,0.9241,0.51287,1.43795,0.80733,1.26707,0.00123094,0.00123094,0.00123094
9,121.052,1.43804,0.8322,1.21434,0.91393,0.9062,0.94253,0.53894,1.40875,0.72049,1.22627,0.00120265,0.00120265,0.00120265
10,133.978,1.39689,0.8209,1.20235,0.92305,0.88848,0.93619,0.539,1.3664,0.71887,1.21908,0.00117435,0.00117435,0.00117435
11,146.972,1.3736,0.79182,1.18777,0.92079,0.89573,0.94278,0.56246,1.36415,0.69121,1.2137,0.00114606,0.00114606,0.00114606
12,160.095,1.35859,0.76667,1.17912,0.9195,0.90548,0.94566,0.54804,1.34696,0.69198,1.20327,0.00111776,0.00111776,0.00111776
13,173.152,1.34201,0.7529,1.175,0.92255,0.91338,0.94797,0.57182,1.29797,0.66786,1.18819,0.00108947,0.00108947,0.00108947
14,186.249,1.31761,0.73085,1.15649,0.92599,0.92164,0.95748,0.57651,1.32425,0.65939,1.18885,0.00106118,0.00106118,0.00106118
15,199.45,1.31627,0.73425,1.15884,0.93893,0.92246,0.95691,0.58093,1.29524,0.6434,1.18092,0.00103288,0.00103288,0.00103288
16,212.578,1.30174,0.70435,1.15038,0.92775,0.9174,0.95353,0.58901,1.26613,0.62795,1.16778,0.00100459,0.00100459,0.00100459
17,225.672,1.2728,0.69331,1.13972,0.94387,0.9239,0.96155,0.58378,1.31898,0.63145,1.1862,0.000976293,0.000976293,0.000976293
18,238.61,1.26701,0.6919,1.13533,0.93562,0.92472,0.96005,0.5864,1.26612,0.63009,1.16264,0.000947999,0.000947999,0.000947999
19,251.608,1.25421,0.67504,1.13404,0.94192,0.93587,0.96497,0.60039,1.2488,0.59415,1.15112,0.000919704,0.000919704,0.000919704
20,264.635,1.23961,0.66141,1.12028,0.94001,0.92276,0.95816,0.59828,1.2391,0.61494,1.15042,0.00089141,0.00089141,0.00089141
21,277.688,1.23493,0.66378,1.12461,0.94219,0.9376,0.96858,0.60415,1.21574,0.59295,1.13745,0.000863116,0.000863116,0.000863116
22,290.782,1.21514,0.65618,1.11244,0.93445,0.91783,0.95821,0.60037,1.24291,0.61503,1.14749,0.000834822,0.000834822,0.000834822
23,303.766,1.20043,0.63912,1.09726,0.94543,0.94176,0.96841,0.62933,1.19057,0.56245,1.12211,0.000806528,0.000806528,0.000806528
24,316.745,1.17518,0.62475,1.09517,0.93157,0.92413,0.96401,0.59448,1.27138,0.60054,1.16553,0.000778233,0.000778233,0.000778233
25,329.752,1.17325,0.61923,1.09227,0.94898,0.94342,0.9697,0.63166,1.1674,0.55223,1.11433,0.000749939,0.000749939,0.000749939
26,342.766,1.15819,0.61072,1.08881,0.94472,0.93917,0.97032,0.63031,1.16891,0.55854,1.11919,0.000721645,0.000721645,0.000721645
27,355.804,1.17277,0.61492,1.09814,0.95204,0.94091,0.97321,0.64237,1.14869,0.54017,1.10221,0.000693351,0.000693351,0.000693351
28,368.915,1.12449,0.58507,1.06539,0.95171,0.94932,0.97653,0.64316,1.14471,0.54238,1.10144,0.000665057,0.000665057,0.000665057
29,382.019,1.13403,0.59205,1.07432,0.94928,0.94908,0.97566,0.64078,1.15533,0.5475,1.10568,0.000636762,0.000636762,0.000636762
30,394.974,1.12816,0.58276,1.08049,0.95482,0.95418,0.97535,0.63962,1.13679,0.53876,1.09962,0.000608468,0.000608468,0.000608468
31,407.995,1.10569,0.58422,1.06703,0.9574,0.94854,0.97368,0.64398,1.11994,0.53047,1.09215,0.000580174,0.000580174,0.000580174
