epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,14.0205,1.84819,2.66979,1.38615,0.99303,0.09051,0.55928,0.32312,1.57623,2.98331,1.21523,0.000469328,0.000469328,0.000469328
2,25.3242,1.626,1.50189,1.24684,0.68866,0.66292,0.74979,0.37679,1.71084,1.70202,1.33219,0.0009363,0.0009363,0.0009363
3,36.1769,1.58465,1.30248,1.25335,0.84229,0.75391,0.84661,0.4462,1.6445,1.18554,1.29529,0.00139384,0.00139384,0.00139384
4,46.943,1.54562,1.17668,1.24553,0.84177,0.77,0.83572,0.43222,1.67014,1.09549,1.31106,0.00138656,0.00138656,0.00138656
5,57.9238,1.5063,1.06299,1.22231,0.83746,0.82066,0.87126,0.47496,1.57597,0.95657,1.27629,0.00137241,0.00137241,0.00137241
6,68.6505,1.4646,0.96443,1.20592,0.83729,0.81752,0.85958,0.46927,1.57901,1.07195,1.2843,0.00135826,0.00135826,0.00135826
7,79.4768,1.45004,0.92873,1.20382,0.87933,0.87114,0.90987,0.50619,1.54935,0.90156,1.24264,0.00134412,0.00134412,0.00134412
8,90.2245,1.44159,0.89788,1.19077,0.88893,0.83841,0.91115,0.50861,1.52758,0.93509,1.2413,0.00132997,0.00132997,0.00132997
9,100.853,1.39982,0.8543,1.16167,0.90778,0.88765,0.92358,0.5178,1.51592,0.80699,1.22592,0.00131582,0.00131582,0.00131582
10,111.565,1.40316,0.84646,1.17727,0.87527,0.85604,0.91259,0.47864,1.59058,0.86634,1.256,0.00130168,0.00130168,0.00130168
11,122.236,1.399,0.82788,1.17072,0.89507,0.89775,0.93822,0.53515,1.47644,0.80103,1.20424,0.00128753,0.00128753,0.00128753
12,132.952,1.35799,0.7913,1.14053,0.89373,0.8791,0.92392,0.52969,1.4899,0.80182,1.22082,0.00127338,0.00127338,0.00127338
13,143.746,1.35356,0.78603,1.14769,0.9186,0.89949,0.93512,0.53707,1.47136,0.78603,1.21031,0.00125923,0.00125923,0.00125923
14,154.535,1.33041,0.76556,1.13987,0.91968,0.88384,0.92801,0.53429,1.49405,0.78967,1.22592,0.00124509,0.00124509,0.00124509
15,165.136,1.32144,0.74595,1.13413,0.90426,0.88415,0.93208,0.54785,1.49065,0.79209,1.21343,0.00123094,0.00123094,0.00123094
16,175.976,1.31244,0.73899,1.13224,0.89041,0.9035,0.935,0.54048,1.42845,0.78996,1.21992,0.00121679,0.00121679,0.00121679
17,186.77,1.29617,0.72699,1.12929,0.91751,0.88719,0.93293,0.5302,1.49324,0.76459,1.24139,0.00120265,0.00120265,0.00120265
18,197.458,1.2729,0.70544,1.1139,0.91395,0.89703,0.93259,0.54161,1.47122,0.74418,1.21623,0.0011885,0.0011885,0.0011885
19,208.237,1.27164,0.70945,1.11808,0.92019,0.89523,0.93657,0.54841,1.45638,0.73711,1.22228,0.00117435,0.00117435,0.00117435
20,219.088,1.24774,0.69414,1.10374,0.92334,0.89976,0.93886,0.53883,1.49264,0.74533,1.24492,0.00116021,0.00116021,0.00116021
21,229.751,1.23206,0.68753,1.09935,0.93348,0.89935,0.94305,0.54158,1.44851,0.71963,1.22187,0.00114606,0.00114606,0.00114606
22,240.426,1.23446,0.6789,1.08983,0.91801,0.91587,0.94414,0.55218,1.43147,0.72265,1.20819,0.00113191,0.00113191,0.00113191
23,251.245,1.21986,0.67342,1.09191,0.9061,0.89773,0.92925,0.52296,1.51584,0.74496,1.2628,0.00111776,0.00111776,0.00111776
24,261.921,1.25006,0.67552,1.0986,0.92117,0.90625,0.94356,0.56589,1.41655,0.71173,1.18635,0.00110362,0.00110362,0.00110362
25,272.576,1.20209,0.65233,1.07551,0.92443,0.92036,0.94618,0.56644,1.41924,0.6961,1.21189,0.00108947,0.00108947,0.00108947
26,283.361,1.20336,0.65448,1.09658,0.91315,0.914,0.93972,0.54955,1.4717,0.72631,1.2292,0.00107532,0.00107532,0.00107532
27,294.085,1.19142,0.64119,1.07074,0.90776,0.91762,0.94518,0.56244,1.43774,0.69452,1.20397,0.00106118,0.00106118,0.00106118
28,304.892,1.16473,0.63293,1.05865,0.91388,0.90271,0.94071,0.55754,1.4465,0.69842,1.21784,0.00104703,0.00104703,0.00104703
29,315.608,1.17557,0.63374,1.07383,0.92568,0.9159,0.95009,0.57012,1.43217,0.68926,1.20082,0.00103288,0.00103288,0.00103288
30,326.276,1.16655,0.62527,1.06319,0.90456,0.90319,0.94222,0.5628,1.45345,0.71089,1.21722,0.00101873,0.00101873,0.00101873
31,336.956,1.16683,0.62356,1.06056,0.92502,0.91521,0.94331,0.55254,1.47823,0.69195,1.23971,0.00100459,0.00100459,0.00100459
32,347.755,1.12838,0.60931,1.05265,0.93983,0.91084,0.95213,0.57883,1.38783,0.67131,1.19533,0.00099044,0.00099044,0.00099044
33,358.436,1.143,0.61266,1.05185,0.914,0.92091,0.9427,0.55876,1.44335,0.67916,1.22644,0.000976293,0.000976293,0.000976293
34,369.086,1.15309,0.61858,1.05711,0.92583,0.90895,0.94617,0.57202,1.39915,0.67598,1.18969,0.000962146,0.000962146,0.000962146
35,379.804,1.12432,0.59964,1.03953,0.92223,0.92647,0.94506,0.56549,1.43505,0.67843,1.20786,0.000947999,0.000947999,0.000947999
36,390.468,1.10434,0.58854,1.03821,0.91038,0.92489,0.94191,0.5596,1.42699,0.66977,1.2272,0.000933851,0.000933851,0.000933851
37,401.246,1.11545,0.59444,1.04881,0.92429,0.91817,0.94826,0.58189,1.37907,0.66934,1.18239,0.000919704,0.000919704,0.000919704
38,412.057,1.11712,0.59284,1.05019,0.91955,0.93285,0.94396,0.56608,1.42329,0.65662,1.22151,0.000905557,0.000905557,0.000905557
39,422.801,1.10355,0.59538,1.03646,0.92256,0.91481,0.94432,0.56991,1.43222,0.67819,1.2183,0.00089141,0.00089141,0.00089141
40,433.487,1.08111,0.58174,1.02534,0.92912,0.91343,0.94208,0.55294,1.48214,0.67509,1.2558,0.000877263,0.000877263,0.000877263
41,444.272,1.09473,0.57918,1.0354,0.92512,0.92428,0.95247,0.58323,1.39987,0.64677,1.20561,0.000863116,0.000863116,0.000863116
42,454.85,1.08715,0.57536,1.03334,0.91843,0.9272,0.95271,0.57679,1.41132,0.65703,1.21107,0.000848969,0.000848969,0.000848969
43,465.622,1.08541,0.57528,1.03172,0.93479,0.90603,0.94887,0.57083,1.42834,0.65711,1.22527,0.000834822,0.000834822,0.000834822
