epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,12.8661,1.85712,2.68574,1.40798,0.66278,0.08801,0.33349,0.16496,1.60858,2.94369,1.26989,0.000469982,0.000469982,0.000469982
2,24.229,1.62179,1.5419,1.26482,0.76462,0.74455,0.79521,0.40473,1.58125,1.37142,1.26163,0.000927579,0.000927579,0.000927579
3,35.2272,1.60065,1.37237,1.26583,0.76185,0.7219,0.78411,0.39047,1.63498,1.2412,1.32119,0.00136631,0.00136631,0.00136631
4,46.0524,1.56957,1.2051,1.23426,0.81767,0.81522,0.87659,0.45625,1.51426,1.06023,1.2623,0.00134412,0.00134412,0.00134412
5,57.4029,1.51092,1.08062,1.21882,0.8857,0.85775,0.91333,0.49286,1.49302,0.89165,1.22233,0.00131582,0.00131582,0.00131582
6,68.078,1.47933,0.98428,1.20301,0.8874,0.82676,0.90822,0.49378,1.4584,0.9019,1.23433,0.00128753,0.00128753,0.00128753
7,78.7885,1.46813,0.95256,1.19492,0.89736,0.84707,0.9111,0.49655,1.47015,0.8565,1.21297,0.00125923,0.00125923,0.00125923
8,89.362,1.4549,0.92619,1.19751,0.8717,0.85461,0.90331,0.48185,1.49233,0.86066,1.23926,0.00123094,0.00123094,0.00123094
9,99.9773,1.40872,0.87515,1.16945,0.88567,0.87854,0.92605,0.52841,1.39088,0.77381,1.18692,0.00120265,0.00120265,0.00120265
10,110.659,1.41191,0.87701,1.16856,0.89959,0.86941,0.92241,0.52569,1.40044,0.77249,1.19563,0.00117435,0.00117435,0.00117435
11,121.392,1.3604,0.82103,1.15129,0.91795,0.89,0.93527,0.54011,1.41924,0.73047,1.1887,0.00114606,0.00114606,0.00114606
12,132.075,1.37248,0.81894,1.14969,0.91269,0.88103,0.9384,0.55182,1.36144,0.73034,1.16449,0.00111776,0.00111776,0.00111776
13,142.826,1.37296,0.80633,1.15925,0.89029,0.91029,0.93704,0.53185,1.38397,0.74339,1.17861,0.00108947,0.00108947,0.00108947
14,153.472,1.3313,0.78333,1.12615,0.92554,0.9086,0.94264,0.56278,1.34448,0.71049,1.15835,0.00106118,0.00106118,0.00106118
15,164.11,1.33492,0.77323,1.1253,0.92633,0.90189,0.94873,0.55893,1.34453,0.69583,1.15298,0.00103288,0.00103288,0.00103288
16,174.723,1.30366,0.74853,1.12444,0.91715,0.89564,0.93925,0.55523,1.34278,0.70186,1.16829,0.00100459,0.00100459,0.00100459
17,185.372,1.29649,0.74823,1.11233,0.91408,0.89887,0.93993,0.56661,1.34243,0.68427,1.16143,0.000976293,0.000976293,0.000976293
18,196.077,1.28533,0.72812,1.11396,0.91413,0.91087,0.94531,0.55507,1.35784,0.71082,1.1722,0.000947999,0.000947999,0.000947999
19,207.042,1.28001,0.72331,1.12131,0.92136,0.90778,0.94695,0.57523,1.31378,0.65942,1.14508,0.000919704,0.000919704,0.000919704
20,217.723,1.26483,0.70498,1.10158,0.9293,0.92414,0.95441,0.58255,1.29062,0.64094,1.14641,0.00089141,0.00089141,0.00089141
21,228.304,1.24635,0.70126,1.10403,0.9268,0.90085,0.94943,0.57739,1.32078,0.6647,1.14084,0.000863116,0.000863116,0.000863116
22,238.92,1.23231,0.6934,1.09282,0.92675,0.92029,0.95014,0.56763,1.29884,0.64491,1.13563,0.000834822,0.000834822,0.000834822
23,249.486,1.21526,0.67372,1.07482,0.93523,0.91209,0.95589,0.58195,1.27347,0.63784,1.1154,0.000806528,0.000806528,0.000806528
24,260.26,1.22695,0.67543,1.08625,0.9327,0.91154,0.95352,0.59099,1.28805,0.63317,1.13714,0.000778233,0.000778233,0.000778233
25,270.842,1.20128,0.65519,1.07709,0.93749,0.9149,0.95858,0.60363,1.26526,0.62143,1.11538,0.000749939,0.000749939,0.000749939
26,281.433,1.19399,0.64785,1.0798,0.93148,0.92771,0.95833,0.59841,1.25006,0.61132,1.11918,0.000721645,0.000721645,0.000721645
