epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,13.9912,1.85898,2.69524,1.39446,0.98136,0.12102,0.63197,0.31486,1.57014,2.80023,1.25148,0.000469982,0.000469982,0.000469982
2,24.9779,1.64293,1.57434,1.25531,0.81852,0.6277,0.73368,0.37734,1.63,1.62961,1.28904,0.000936947,0.000936947,0.000936947
3,35.8285,1.59355,1.39466,1.25094,0.78589,0.67485,0.75634,0.38717,1.64019,1.29629,1.32675,0.00139448,0.00139448,0.00139448
4,46.4937,1.56082,1.20879,1.23195,0.86313,0.79411,0.85985,0.44686,1.54509,1.0042,1.2453,0.00138656,0.00138656,0.00138656
5,56.9838,1.50563,1.09237,1.21615,0.86085,0.82237,0.88826,0.47244,1.46776,0.96304,1.22096,0.00137241,0.00137241,0.00137241
6,67.5741,1.48045,0.99404,1.19713,0.85708,0.859,0.90637,0.49816,1.40877,0.98009,1.20044,0.00135826,0.00135826,0.00135826
7,78.0723,1.46468,0.96102,1.19034,0.86781,0.84461,0.9105,0.50027,1.4933,0.85178,1.2323,0.00134412,0.00134412,0.00134412
8,88.6006,1.43867,0.93141,1.18654,0.87604,0.82158,0.90381,0.50852,1.45195,0.87627,1.22291,0.00132997,0.00132997,0.00132997
9,99.1792,1.44118,0.9186,1.18435,0.87823,0.87587,0.92049,0.51295,1.40254,0.81839,1.18515,0.00131582,0.00131582,0.00131582
10,109.622,1.42557,0.89754,1.17057,0.87259,0.8555,0.91491,0.50896,1.43848,0.79837,1.20231,0.00130168,0.00130168,0.00130168
11,120.194,1.37659,0.83562,1.15856,0.88786,0.8898,0.92651,0.53594,1.39371,0.74635,1.1826,0.00128753,0.00128753,0.00128753
12,130.68,1.36695,0.82266,1.15609,0.89262,0.87953,0.93351,0.53966,1.37877,0.76309,1.17902,0.00127338,0.00127338,0.00127338
13,141.139,1.38629,0.80834,1.15522,0.9186,0.89663,0.93726,0.54638,1.37154,0.73521,1.17164,0.00125923,0.00125923,0.00125923
14,151.5,1.3611,0.80106,1.1356,0.90951,0.89404,0.94447,0.54552,1.39349,0.72392,1.18085,0.00124509,0.00124509,0.00124509
15,162.107,1.35769,0.80007,1.13604,0.91559,0.89236,0.9446,0.53272,1.39777,0.76864,1.17825,0.00123094,0.00123094,0.00123094
16,172.501,1.33208,0.77437,1.13275,0.91483,0.89644,0.94493,0.55083,1.3371,0.70018,1.16729,0.00121679,0.00121679,0.00121679
17,182.984,1.31316,0.75391,1.12049,0.9108,0.88752,0.94039,0.55271,1.36039,0.70866,1.17728,0.00120265,0.00120265,0.00120265
18,193.528,1.3218,0.75227,1.13128,0.90025,0.89502,0.93877,0.56415,1.33781,0.70479,1.15569,0.0011885,0.0011885,0.0011885
19,204.016,1.30745,0.75477,1.13047,0.91562,0.90512,0.94693,0.56651,1.3408,0.68881,1.17082,0.00117435,0.00117435,0.00117435
20,214.538,1.30511,0.74375,1.11898,0.91901,0.9033,0.94556,0.58266,1.29309,0.66191,1.13029,0.00116021,0.00116021,0.00116021
21,225.121,1.27636,0.71729,1.11321,0.91412,0.91865,0.95526,0.58293,1.30343,0.66823,1.13614,0.00114606,0.00114606,0.00114606
22,235.541,1.26747,0.7159,1.1096,0.92404,0.91027,0.95224,0.5488,1.39673,0.68671,1.18753,0.00113191,0.00113191,0.00113191
23,246.057,1.25049,0.70114,1.09316,0.92167,0.91322,0.9487,0.56815,1.31647,0.66449,1.14527,0.00111776,0.00111776,0.00111776
24,256.564,1.24239,0.68845,1.10107,0.92521,0.93164,0.958,0.58222,1.28224,0.64558,1.12433,0.00110362,0.00110362,0.00110362
25,267.046,1.25835,0.69818,1.09737,0.9366,0.91948,0.9579,0.58136,1.29381,0.64181,1.13644,0.00108947,0.00108947,0.00108947
26,277.454,1.23617,0.67591,1.09416,0.93026,0.92432,0.95391,0.58619,1.27848,0.64114,1.13374,0.00107532,0.00107532,0.00107532
27,288.029,1.22922,0.68134,1.08875,0.9368,0.92427,0.95923,0.60604,1.27174,0.61746,1.12313,0.00106118,0.00106118,0.00106118
28,298.554,1.21238,0.66276,1.08229,0.94097,0.92233,0.96331,0.59991,1.24901,0.6166,1.1116,0.00104703,0.00104703,0.00104703
29,309.097,1.22648,0.67583,1.0897,0.92358,0.93548,0.96101,0.59906,1.24213,0.63976,1.10914,0.00103288,0.00103288,0.00103288
30,319.51,1.20412,0.65432,1.08218,0.92803,0.92649,0.95849,0.60505,1.25646,0.61793,1.12,0.00101873,0.00101873,0.00101873
31,329.955,1.22874,0.66942,1.0812,0.92433,0.92906,0.96096,0.60588,1.24908,0.61966,1.11581,0.00100459,0.00100459,0.00100459
32,340.477,1.19005,0.65227,1.07119,0.94198,0.92018,0.95973,0.6125,1.24752,0.61463,1.10812,0.00099044,0.00099044,0.00099044
33,350.953,1.20692,0.65276,1.07439,0.94966,0.91472,0.96275,0.61937,1.21011,0.60218,1.09465,0.000976293,0.000976293,0.000976293
34,361.397,1.181,0.63677,1.06458,0.93262,0.93694,0.96107,0.60986,1.23123,0.59564,1.11092,0.000962146,0.000962146,0.000962146
35,371.898,1.16053,0.62656,1.05946,0.93884,0.93172,0.96432,0.60822,1.22711,0.59924,1.10147,0.000947999,0.000947999,0.000947999
36,382.347,1.17132,0.62967,1.06702,0.93096,0.93579,0.96641,0.60601,1.23784,0.60592,1.09842,0.000933851,0.000933851,0.000933851
37,392.793,1.1574,0.62939,1.06061,0.93722,0.93042,0.96346,0.60569,1.2435,0.60682,1.10431,0.000919704,0.000919704,0.000919704
38,403.189,1.14908,0.61631,1.04731,0.93982,0.93214,0.96123,0.60969,1.22552,0.59447,1.09784,0.000905557,0.000905557,0.000905557
39,413.736,1.14638,0.61522,1.04788,0.94086,0.94534,0.96618,0.61652,1.20663,0.57945,1.09175,0.00089141,0.00089141,0.00089141
40,424.219,1.14594,0.61371,1.04959,0.94158,0.93178,0.96228,0.61589,1.2283,0.58579,1.09861,0.000877263,0.000877263,0.000877263
