epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,14.0684,1.69985,1.96547,1.37644,0.82125,0.75103,0.84141,0.44725,1.49901,1.00469,1.28605,0.000469982,0.000469982,0.000469982
2,27.955,1.51895,1.00981,1.26086,0.74815,0.71928,0.782,0.40426,1.5934,1.16607,1.38324,0.000927579,0.000927579,0.000927579
3,41.026,1.51254,0.98322,1.27032,0.79689,0.72443,0.7954,0.42369,1.54229,1.04883,1.34374,0.00136631,0.00136631,0.00136631
4,54.0409,1.52396,0.9407,1.25441,0.88733,0.78407,0.88234,0.46664,1.49524,0.95405,1.31065,0.00134412,0.00134412,0.00134412
5,67.1074,1.46438,0.88667,1.23846,0.89578,0.87397,0.9154,0.50601,1.44801,0.78662,1.25497,0.00131582,0.00131582,0.00131582
6,80.147,1.4306,0.8367,1.21546,0.90596,0.88479,0.92503,0.51841,1.43084,0.7489,1.23877,0.00128753,0.00128753,0.00128753
7,93.161,1.43577,0.81772,1.21349,0.9093,0.89577,0.93933,0.53865,1.40075,0.72945,1.22955,0.00125923,0.00125923,0.00125923
8,106.089,1.38821,0.78822,1.20414,0.88553,0.85996,0.92504,0.52117,1.43551,0.75721,1.23722,0.00123094,0.00123094,0.00123094
9,118.996,1.36462,0.75615,1.18017,0.90869,0.89936,0.93896,0.5567,1.34317,0.70638,1.20124,0.00120265,0.00120265,0.00120265
10,131.936,1.33726,0.75032,1.16439,0.92431,0.90162,0.94329,0.54976,1.34643,0.68611,1.19846,0.00117435,0.00117435,0.00117435
11,144.867,1.31321,0.7228,1.16169,0.9383,0.91159,0.95299,0.56547,1.34796,0.64976,1.1918,0.00114606,0.00114606,0.00114606
12,157.88,1.29756,0.71509,1.15057,0.92532,0.91761,0.95465,0.5715,1.3211,0.6584,1.18385,0.00111776,0.00111776,0.00111776
13,170.882,1.31144,0.69983,1.1555,0.92654,0.92309,0.95188,0.57188,1.30285,0.64191,1.17191,0.00108947,0.00108947,0.00108947
14,183.892,1.26533,0.68339,1.12946,0.93083,0.91986,0.95381,0.58786,1.29151,0.62651,1.17853,0.00106118,0.00106118,0.00106118
15,197.19,1.27372,0.67989,1.12452,0.93859,0.90782,0.95663,0.58868,1.27927,0.61986,1.16402,0.00103288,0.00103288,0.00103288
16,210.21,1.21451,0.65183,1.11628,0.93589,0.90922,0.95415,0.58478,1.28459,0.62671,1.17541,0.00100459,0.00100459,0.00100459
17,223.105,1.21471,0.64782,1.10645,0.94006,0.92985,0.96245,0.60535,1.24637,0.60075,1.15016,0.000976293,0.000976293,0.000976293
